"filename", "language", "CMake", "YAML", "C++", "Dart", "JSON", "Markdown", "Groovy", "Swift", "XML", "Properties", "JavaScript", "HTML", "comment", "blank", "total"
"/Users/thet3o/Projects/justitis_app/windows/flutter/generated_plugin_registrant.cc", "C++", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 21
"/Users/thet3o/Projects/justitis_app/windows/flutter/generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"/Users/thet3o/Projects/justitis_app/windows/flutter/generated_plugins.cmake", "CMake", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"/Users/thet3o/Projects/justitis_app/windows/runner/flutter_window.cpp", "C++", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"/Users/thet3o/Projects/justitis_app/windows/runner/flutter_window.h", "C++", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"/Users/thet3o/Projects/justitis_app/windows/runner/main.cpp", "C++", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"/Users/thet3o/Projects/justitis_app/windows/runner/resource.h", "C++", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"/Users/thet3o/Projects/justitis_app/windows/runner/utils.cpp", "C++", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"/Users/thet3o/Projects/justitis_app/windows/runner/utils.h", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"/Users/thet3o/Projects/justitis_app/windows/runner/win32_window.cpp", "C++", 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"/Users/thet3o/Projects/justitis_app/windows/runner/win32_window.h", "C++", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 41, 73, 548, 1283, 255, 5, 94, 68, 463, 8, 15, 70, 239, 388, 3550
